step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
348,0.25781,0.90435,,,,
349,0.36661,0.88406,,,,
350,0.24621,0.90725,,,,
351,0.31087,0.88696,,,,
352,0.25745,0.91304,,,,
353,0.2528,0.91014,,,,
354,0.30503,0.88406,,,,
355,0.23471,0.92464,,,,
356,0.24134,0.91884,,,,
357,0.23144,0.92464,,,,
358,0.24522,0.91884,,,,
359,0.27414,0.91304,,,,
360,0.22368,0.92464,,,,
361,0.2231,0.92754,,,,
362,0.24805,0.91304,,,,
363,0.29411,0.89275,,,,
364,0.25763,0.90435,,,,
365,0.24378,0.91304,,,,
366,0.26908,0.90725,,,,
367,0.23028,0.93043,,,,
368,0.28722,0.90725,,,,
369,0.22382,0.91594,,,,
370,0.27435,0.91304,,,,
371,0.23906,0.91594,,,,
372,0.28199,0.90145,,,,
373,0.2432,0.91014,,,,
374,0.28416,0.88986,,,,
375,0.28297,0.89855,,,,
376,0.29965,0.90435,,,,
377,0.24796,0.91594,,,,
378,0.24279,0.92174,,,,
379,0.27236,0.90435,,,,
380,0.27752,0.91014,,,,
381,0.28301,0.89565,,,,
382,0.29109,0.89565,,,,
383,0.30038,0.89565,,,,
384,0.26549,0.91014,,,,
385,0.23072,0.93333,,,,
386,0.24182,0.90725,,,,
387,0.24873,0.92174,,,,
388,0.24899,0.91594,,,,
389,0.27922,0.90435,,,,
390,0.22247,0.93623,,,,
391,0.25979,0.89565,,,,
392,0.27927,0.89275,,,,
393,0.29775,0.89855,,,,
394,0.24683,0.91594,,,,
395,0.23851,0.93623,,,,
396,0.21788,0.92754,,,,
397,0.27561,0.90435,,,,
398,0.22542,0.92174,,,,
399,0.26944,0.90435,,,,
400,0.25435,0.91594,0.26361,0.91304,,
401,0.26516,0.90725,,,,
402,0.28609,0.90725,,,,
403,0.31112,0.88696,,,,
404,0.2603,0.90725,,,,
405,0.29068,0.90145,,,,
406,0.25456,0.90435,,,,
407,0.25599,0.91884,,,,
408,0.27197,0.89275,,,,
409,0.18234,0.93623,,,,
410,0.24377,0.91304,,,,
411,0.26496,0.90725,,,,
412,0.31837,0.88986,,,,
413,0.25863,0.90725,,,,
414,0.26258,0.91014,,,,
415,0.25847,0.92174,,,,
416,0.23859,0.91594,,,,
417,0.28519,0.88986,,,,
418,0.27143,0.90435,,,,
419,0.2458,0.93913,,,,
420,0.23201,0.93043,,,,
421,0.28697,0.89855,,,,
422,0.29552,0.89275,,,,
423,0.21893,0.93043,,,,
424,0.19219,0.94203,,,,
425,0.23898,0.92464,,,,
426,0.20213,0.92174,,,,
427,0.23478,0.91594,,,,
428,0.27071,0.91014,,,,
429,0.23573,0.91884,,,,
430,0.22481,0.92174,,,,
431,0.26012,0.91304,,,,
432,0.23471,0.92754,,,,
433,0.21214,0.93333,,,,
434,0.24425,0.92174,,,,
435,0.2886,0.90145,,,,
436,0.27468,0.92174,,,,
437,0.22222,0.92174,,,,
438,0.26813,0.91594,,,,
439,0.2484,0.91884,,,,
440,0.29168,0.91594,,,,
441,0.27339,0.90145,,,,
442,0.2227,0.93623,,,,
443,0.24656,0.90435,,,,
444,0.26082,0.91304,,,,
445,0.25848,0.91304,,,,
446,0.28415,0.91304,,,,
447,0.25615,0.91304,,,,
448,0.27688,0.90145,,,,
449,0.28722,0.89275,,,,
450,0.23423,0.91884,,,,
451,0.30017,0.89565,,,,
452,0.22792,0.91884,,,,
453,0.22606,0.93043,,,,
454,0.29151,0.89275,,,,
455,0.20873,0.91884,,,,
456,0.25591,0.92174,,,,
457,0.28325,0.89855,,,,
458,0.24965,0.91304,,,,
459,0.23868,0.92174,,,,
460,0.27691,0.89855,,,,
461,0.21709,0.92464,,,,
462,0.29963,0.88696,,,,
463,0.24822,0.92174,,,,
464,0.27755,0.90145,,,,
465,0.22651,0.92174,,,,
466,0.26283,0.90725,,,,
467,0.29012,0.89275,,,,
468,0.2355,0.91594,,,,
469,0.27542,0.90435,,,,
470,0.29093,0.90145,,,,
471,0.24232,0.91304,,,,
472,0.22462,0.93333,,,,
473,0.26082,0.91304,,,,
474,0.225,0.93043,,,,
475,0.28677,0.90145,,,,
476,0.24695,0.91014,,,,
477,0.20361,0.93623,,,,
478,0.24859,0.91014,,,,
479,0.22511,0.92174,,,,
480,0.20492,0.92464,,,,
481,0.26358,0.89565,,,,
482,0.25579,0.92174,,,,
483,0.27765,0.89565,,,,
484,0.30023,0.90145,,,,
485,0.2831,0.89855,,,,
486,0.30661,0.88696,,,,
487,0.30828,0.88116,,,,
488,0.23708,0.92464,,,,
489,0.22626,0.91884,,,,
490,0.24332,0.90435,,,,
491,0.22474,0.92464,,,,
492,0.25156,0.90725,,,,
493,0.2699,0.89855,,,,
494,0.22986,0.91594,,,,
495,0.2535,0.92174,,,,
496,0.21891,0.93623,,,,
497,0.2811,0.90435,,,,
498,0.27361,0.90435,,,,
499,0.21297,0.92754,,,,
500,0.22427,0.92754,0.2993,0.89855,,
501,0.23176,0.92174,,,,
502,0.28961,0.90145,,,,
503,0.32788,0.88406,,,,
504,0.25191,0.90725,,,,
505,0.21718,0.91884,,,,
506,0.25373,0.91014,,,,
507,0.28194,0.90435,,,,
508,0.25805,0.90725,,,,
509,0.3123,0.88696,,,,
510,0.27639,0.90145,,,,
511,0.24921,0.90725,,,,
512,0.30501,0.88406,,,,
513,0.26082,0.92174,,,,
514,0.31048,0.88986,,,,
515,0.22452,0.93043,,,,
516,0.2684,0.90435,,,,
517,0.24087,0.92754,,,,
518,0.30366,0.88986,,,,
519,0.27525,0.89855,,,,
520,0.27818,0.89275,,,,
521,0.24783,0.91884,,,,
522,0.21762,0.92174,,,,
523,0.25089,0.91014,,,,
524,0.25162,0.92174,,,,
525,0.27097,0.90435,,,,
526,0.31219,0.90145,,,,
527,0.28747,0.89565,,,,
528,0.29451,0.89275,,,,
529,0.23776,0.91014,,,,
530,0.21051,0.93043,,,,
531,0.29585,0.89855,,,,
532,0.25838,0.89275,,,,
533,0.25859,0.90725,,,,
534,0.24712,0.91014,,,,
535,0.24444,0.92464,,,,
536,0.28642,0.90435,,,,
537,0.26008,0.91304,,,,
538,0.25292,0.90725,,,,
539,0.23569,0.91594,,,,
